"","pfam_desc","gene_name1"
"3085","RNA polymerase Rpb3/Rpb11 dimerisation domain","AT2G15430"
"3086","PUB domain","AT5G48690"
"3087","Protein of unknown function (DUF1216)","AT3G28810"
"3088","Pathogenesis-related protein Bet v I family","AT1G70860"
"3089","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G13850"
"3090","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G09040"
"3091","Mlo family","AT2G17430"
"3092","PPR repeat","AT5G10690"
"3093","Myb-like DNA-binding domain","AT5G40360"
"3094","Leucine rich repeat N-terminal domain","AT3G14350"
"3095","Leucine Rich Repeat","AT3G14350"
"3096","Protein kinase domain","AT3G14350"
"3097","Protein kinase domain","AT4G18710"
"3098","HhH-GPD superfamily base excision DNA repair protein","AT2G36490"
"3099","CRS1 / YhbY (CRM) domain","AT1G23400"
"3100","PCI domain","AT5G15610"
"3101","Terpene synthase family, metal binding domain","AT5G48110"
"3102","Terpene synthase, N-terminal domain","AT5G48110"
"3103","Protein of unknown function (DUF1546)","AT1G04950"
"3104","TATA box binding protein associated factor (TAF)","AT1G04950"
"3105","Pyridoxal-phosphate dependent enzyme","AT5G28237"
"3106","S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)","AT4G29300"
"3107","Flavin-binding monooxygenase-like","AT1G12130"
"3108","ATPase family associated with various cellular activities (AAA)","AT5G17760"
"3109","Plant protein 1589 of unknown function (A_thal_3526)","AT2G11623"
"3110","Glycosyl hydrolase family 9","AT3G43860"
"3111","Core-2/I-Branching enzyme","AT1G73810"
"3112","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT5G11412"
"3113","Survival motor neuron protein (SMN)","AT2G02570"
"3114","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT5G53180"
"3115","ATPase family associated with various cellular activities (AAA)","AT1G53780"
"3116","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","AT1G53780"
"3117","TB2/DP1, HVA22 family","AT1G74520"
"3118","Putative zinc finger motif, C2HC5-type","AT3G47610"
"3119","Glutaredoxin","AT5G01420"
"3120","Plant neutral invertase","AT4G34860"
"3121","GH3 auxin-responsive promoter","AT5G54510"
"3122","Myb-like DNA-binding domain","AT5G29000"
"3123","Sugar (and other) transporter","AT3G19940"
"3124","Ndr family","AT2G19620"
"3125","Permease family","AT2G27810"
"3126","Ribosomal protein L41","AT3G08520"
"3127","SRF-type transcription factor (DNA-binding and dimerisation domain)","AT4G11880"
"3128","K-box region","AT4G11880"
"3129","Leucine rich repeat N-terminal domain","AT1G74190"
"3130","Leucine Rich Repeat","AT1G74190"
"3131","WRKY DNA -binding domain","AT1G13960"
"3132","PLAT/LH2 domain","AT3G22400"
"3133","Lipoxygenase","AT3G22400"
"3134","MIZ/SP-RING zinc finger","AT5G60410"
"3135","SAP domain","AT5G60410"
"3136","PHD-finger","AT5G60410"
"3137","Armadillo/beta-catenin-like repeat","AT2G45720"
"3138","Zinc finger, C3HC4 type (RING finger)","AT3G56580"
"3139","Plant self-incompatibility response (SCRL) protein","AT4G10457"
"3140","XS domain","AT5G23570"
"3141","XS zinc finger domain","AT5G23570"
"3142","short chain dehydrogenase","AT4G23430"
"3143","Putative integral membrane protein conserved region (DUF2404)","AT1G17820"
"3144","ABC transporter","AT3G53480"
"3145","Plant PDR ABC transporter associated","AT3G53480"
"3146","ABC-2 type transporter","AT3G53480"
"3147","Type III restriction enzyme, res subunit","AT5G37150"
"3148","Glutathione S-transferase, C-terminal domain","AT1G10360"
"3149","Glutathione S-transferase, N-terminal domain","AT1G10360"
"3150","Sodium/hydrogen exchanger family","AT3G06370"
"3151","alpha/beta hydrolase fold","AT5G16080"
"3152","Glycosyl transferases group 1","AT3G15940"
"3153","X8 domain","AT1G09460"
"3154","Photosystem II reaction centre W protein (PsbW)","AT2G30570"
"3155","CCT motif","AT5G15850"
"3156","B-box zinc finger","AT5G15850"
"3157","Cytidine and deoxycytidylate deaminase zinc-binding region","AT1G48175"
"3158","Tetraacyldisaccharide-1-P 4'-kinase","AT3G20480"
"3159","Thioredoxin","AT1G50320"
"3160","Glycolipid transfer protein (GLTP)","AT1G21360"
"3161","Family of unknown function (DUF706)","AT1G14520"
"3162","Poly(A) polymerase central domain","AT3G06560"
"3163","Poly(A) polymerase predicted RNA binding domain","AT3G06560"
"3164","QLQ","AT4G37740"
"3165","WRC","AT4G37740"
"3166","Plant invertase/pectin methylesterase inhibitor","AT1G11593"
"3167","PPR repeat","AT1G19290"
"3168","Cyclic nucleotide-binding domain","AT5G57940"
"3169","Ion transport protein","AT5G57940"
"3170","PAS fold","AT4G18130"
"3171","Phytochrome region","AT4G18130"
"3172","His Kinase A (phosphoacceptor) domain","AT4G18130"
"3173","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","AT4G18130"
"3174","GAF domain","AT4G18130"
"3175","Domain of unknown function (DUF1785)","AT5G21150"
"3176","Piwi domain","AT5G21150"
"3177","PAZ domain","AT5G21150"
"3178","HIT zinc finger","AT4G28820"
"3179","Mlo family","AT1G61560"
"3180","SNARE domain","AT3G11820"
"3181","Syntaxin","AT3G11820"
"3182","Cystatin domain","AT4G16500"
"3183","Peroxidase","AT4G08390"
"3184","Chlorophyll A-B binding protein","AT5G54270"
"3185","Sugar (and other) transporter","AT5G43370"
"3186","ABC transporter","AT2G41700"
"3187","Exostosin family","AT1G27440"
"3188","Zinc finger, C3HC4 type (RING finger)","AT4G17245"
"3189","DnaJ domain","AT4G12770"
"3190","Galactoside-binding lectin","AT3G06440"
"3191","Galactosyltransferase","AT3G06440"
"3192","Helix-loop-helix DNA-binding domain","AT4G00050"
"3193","Double-stranded DNA-binding domain","AT1G29850"
"3194","Plant invertase/pectin methylesterase inhibitor","AT3G47670"
"3195","Protein of unknown function (DUF1298)","AT5G37300"
"3196","Uncharacterised protein family (UPF0089)","AT5G37300"
"3197","CRAL/TRIO domain","AT4G36640"
"3198","Protein kinase domain","AT3G48260"
"3199","Protein of unknown function (DUF677)","AT5G66675"
"3200","Cyclic nucleotide-binding domain","AT1G01340"
"3201","Ion transport protein","AT1G01340"
"3202","Staphylococcal nuclease homologue","AT2G40410"
"3203","Leucine Rich Repeat","AT5G52480"
"3204","SWIB/MDM2 domain","AT3G19080"
"3205","DEK C terminal domain","AT3G19080"
"3206","KOW motif","AT2G34210"
"3207","Early transcription elongation factor of RNA pol II, NGN section","AT2G34210"
"3208","Spt5 transcription elongation factor, acidic N-terminal","AT2G34210"
"3209","Nucleolar GTP-binding protein 1 (NOG1)","AT1G80770"
"3210","Ferrous iron transport protein B","AT1G80770"
"3211","Cytidine and deoxycytidylate deaminase zinc-binding region","AT4G29610"
"3212","Syntaxin","AT5G08080"
"3213","NB-ARC domain","AT4G12020"
"3214","Leucine Rich Repeat","AT4G12020"
"3215","Protein kinase domain","AT4G12020"
"3216","WRKY DNA -binding domain","AT4G12020"
"3217","Paired amphipathic helix repeat","AT4G12020"
"3218","Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain","AT3G20330"
"3219","Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain","AT3G20330"
"3220","GDP-fucose protein O-fucosyltransferase","AT1G11990"
"3221","Mov34/MPN/PAD-1 family","AT5G23540"
"3222","Domain of unknown function (DUF588)","AT1G17200"
"3223","Plant mobile domain","AT1G50750"
"3224","U-box domain","AT3G18710"
"3225","Surp module","AT1G18050"
"3226","AUX/IAA family","AT5G43700"
"3227","Arabidopsis proteins of unknown function","AT1G70550"
"3228","Amino acid permease","AT1G31830"
"3229","Helix-loop-helix DNA-binding domain","AT1G68810"
"3230","Plant pleckstrin homology-like region","AT4G14740"
"3231","Plant protein of unknown function (DUF828)","AT4G14740"
"3232","Peptidase family M20/M25/M40","AT1G51760"
"3233","Peptidase dimerisation domain","AT1G51760"
"3234","TPR/MLP1/MLP2-like protein","AT1G79280"
"3235","Domain of unknown function (DUF3354)","AT4G32650"
"3236","short chain dehydrogenase","AT5G02540"
"3237","Peptidase M16 inactive domain","AT5G56730"
"3238","Insulinase (Peptidase family M16)","AT5G56730"
"3239","Ribosomal protein L9, N-terminal domain","AT5G53070"
"3240","Ribosomal protein L9, C-terminal domain","AT5G53070"
"3241","C1 domain","AT2G28460"
"3242","C1-like domain","AT2G28460"
"3243","Plant invertase/pectin methylesterase inhibitor","AT3G14310"
"3244","Pectinesterase","AT3G14310"
"3245","Endoplasmic reticulum vesicle transporter","AT1G22200"
"3246","Xyloglucan endo-transglycosylase (XET) C-terminus","AT4G25820"
"3247","Glycosyl hydrolases family 16","AT4G25820"
"3248","F-box associated","AT3G06280"
"3249","LysM domain","AT1G55000"
"3250","Plant organelle RNA recognition domain","AT2G39120"
"3251","DEAD/DEAH box helicase","AT1G28180"
"3252","Helicase conserved C-terminal domain","AT1G28180"
"3253","Ubiquitin carboxyl-terminal hydrolase","AT2G22310"
"3254","Male sterility protein","AT3G44540"
"3255","Ammonium Transporter Family","AT3G24300"
"3256","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","AT3G63400"
"3257","No apical meristem (NAM) protein","AT2G02450"
"3258","PPR repeat","AT1G18900"
"3259","CCT motif","AT2G33500"
"3260","B-box zinc finger","AT2G33500"
"3261","Transferase family","AT5G67150"
"3262","Rad51","AT1G07745"
"3263","Protein of unknown function (DUF1674)","AT5G67490"
"3264","DNA ligase N terminus","AT1G49250"
"3265","ATP dependent DNA ligase domain","AT1G49250"
"3266","ATP dependent DNA ligase C terminal region","AT1G49250"
"3267","X8 domain","AT2G03505"
"3268","Domain of unknown function DUF26","AT4G20610"
"3269","Protein of unknown function (DUF1204)","AT4G20610"
"3270","Rapid ALkalinization Factor (RALF)","AT4G11510"
"3271","Apoptosis inhibitory protein 5 (API5)","AT2G34040"
"3272","Carbon-nitrogen hydrolase","AT1G55090"
"3273","NAD synthase","AT1G55090"
"3274","Man1-Src1p-C-terminal domain","AT5G46560"
"3275","Protease inhibitor/seed storage/LTP family","AT1G48750"
"3276","Transferase family","AT3G29590"
"3277","Glycosyl hydrolase family 1","AT1G60270"
"3278","GDA1/CD39 (nucleoside phosphatase) family","AT1G14240"
"3279","2Fe-2S iron-sulfur cluster binding domain","AT2G27150"
"3280","FAD binding domain in molybdopterin dehydrogenase","AT2G27150"
"3281","[2Fe-2S] binding domain","AT2G27150"
"3282","CO dehydrogenase flavoprotein C-terminal domain","AT2G27150"
"3283","Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain","AT2G27150"
"3284","Molybdopterin-binding domain of aldehyde dehydrogenase","AT2G27150"
"3285","Embryo-specific protein 3, (ATS3)","AT5G62210"
"3286","N2227-like protein","AT2G32160"
"3287","Universal stress protein family","AT3G01520"
"3288","ATPase family associated with various cellular activities (AAA)","AT2G34560"
"3289","2OG-Fe(II) oxygenase superfamily","AT5G01780"
"3290","FMN-dependent dehydrogenase","AT3G14150"
"3291","Flavin containing amine oxidoreductase","AT3G59050"
"3292","Zinc finger, C3HC4 type (RING finger)","AT5G01520"
"3293","Nucleotide-diphospho-sugar transferase","AT1G75110"
"3294","PAP_fibrillin","AT5G19940"
"3295","Stigma-specific protein, Stig1","AT1G50720"
"3296","HMG (high mobility group) box","AT1G76110"
"3297","ARID/BRIGHT DNA binding domain","AT1G76110"
"3298","F-box domain","AT3G17490"
"3299","F-box associated","AT3G17490"
"3300","Tetratricopeptide repeat","AT4G10840"
"3301","YDG/SRA domain","AT2G24740"
"3302","SET domain","AT2G24740"
"3303","Pre-SET motif","AT2G24740"
"3304","Clathrin adaptor complex small chain","AT2G17380"
"3305","GDSL-like Lipase/Acylhydrolase","AT2G40250"
"3306","Glyoxal oxidase N-terminus","AT1G67290"
"3307","Domain of unknown function (DUF1929)","AT1G67290"
"3308","FYVE zinc finger","AT4G14368"
"3309","Regulator of chromosome condensation (RCC1) repeat","AT4G14368"
"3310","FYVE zinc finger","AT3G43230"
"3311","Family of unknown function (DUF500)","AT3G43230"
"3312","Eukaryotic-type carbonic anhydrase","AT4G20990"
"3313","Uncharacterized conserved protein (DUF2358)","AT2G46220"
"3314","Core-2/I-Branching enzyme","AT5G14550"
"3315","Seven in absentia protein family","AT1G66660"
"3316","Response regulator receiver domain","AT2G27070"
"3317","Protein of unknown function (DUF493)","AT1G27385"
"3318","Ribonuclease E/G family","AT2G04270"
"3319","Amidase","AT5G64440"
"3320","Myb-like DNA-binding domain","AT4G34430"
"3321","SWIRM domain","AT4G34430"
"3322","Zinc finger, ZZ type,","AT4G34430"
"3323","F-box domain","AT2G39415"
"3324","Rapid ALkalinization Factor (RALF)","AT4G14020"
"3325","Arabidopsis proteins of unknown function","AT5G15890"
"3326","Agenet domain","AT2G47230"
"3327","Protein of unknown function (DUF724)","AT2G47230"
"3328","Exo70 exocyst complex subunit","AT5G03540"
"3329","Cellulase (glycosyl hydrolase family 5)","AT1G13130"
"3330","No apical meristem (NAM) protein","AT3G15500"
"3331","Amino acid permease","AT1G31820"
"3332","Protein tyrosine kinase","AT2G39660"
"3333","Dimerisation domain","AT1G21130"
"3334","O-methyltransferase","AT1G21130"
"3335","RNA polymerase Rpb4","AT5G62950"
"3336","NB-ARC domain","AT5G45260"
"3337","Leucine Rich Repeat","AT5G45260"
"3338","SRF-type transcription factor (DNA-binding and dimerisation domain)","AT5G04640"
"3339","Transferase family","AT2G19070"
"3340","AMP-binding enzyme","AT1G20500"
"3341","BAG domain","AT1G12060"
"3342","Protein kinase domain","AT3G57720"
"3343","Glycosyl hydrolases family 18","AT5G24090"
"3344","Family of unknown function (DUF577)","AT5G37430"
"3345","C1 domain","AT5G01480"
"3346","C1-like domain","AT5G01480"
"3347","Histone acetylation protein","AT1G16710"
"3348","TAZ zinc finger","AT1G16710"
"3349","Zinc finger, ZZ type,","AT1G16710"
"3350","Bacterial extracellular solute-binding proteins, family 3","AT4G35290"
"3351","Ligand-gated ion channel","AT4G35290"
"3352","Receptor family ligand binding region","AT4G35290"
"3353","Leucine rich repeat N-terminal domain","AT5G06870"
"3354","Leucine Rich Repeat","AT5G06870"
"3355","short chain dehydrogenase","AT3G59710"
"3356","ABC transporter","AT1G28010"
"3357","ABC transporter transmembrane region","AT1G28010"
"3358","Glycosyl hydrolase family 9","AT4G39010"
"3359","NB-ARC domain","AT5G18360"
"3360","Leucine Rich Repeat","AT5G18360"
"3361","TIR domain","AT5G18360"
"3362","Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold","AT1G69410"
"3363","KOW motif","AT1G69410"
"3364","Surp module","AT3G49130"
"3365","Protein tyrosine kinase","AT1G50990"
"3366","Major Facilitator Superfamily","AT2G13100"
"3367","Respiratory-chain NADH dehydrogenase, 49 Kd subunit","ATCG01110"
"3368","Universal stress protein family","AT1G21590"
"3369","Protein kinase domain","AT1G21590"
"3370","Ribosomal protein S8","AT2G39590"
"3371","CCT motif","AT5G24930"
"3372","B-box zinc finger","AT5G24930"
"3373","Pollen proteins Ole e I like","AT2G33790"
"3374","Leucine rich repeat N-terminal domain","AT5G07280"
"3375","Leucine Rich Repeat","AT5G07280"
"3376","Protein kinase domain","AT5G07280"
"3377","Myb-like DNA-binding domain","AT4G37180"
"3378","Exostosin family","AT4G38040"
"3379","Protein of unknown function (DUF784)","AT5G34885"
"3380","Trm112p-like protein","AT1G22270"
"3381","F-box domain","AT2G44130"
"3382","Kelch motif","AT2G44130"
"3383","GATA zinc finger","AT3G54810"
"3384","Arabidopsis phospholipase-like protein (PEARLI 4)","AT2G16900"
"3385","Protein phosphatase 2C","AT2G28890"
"3386","Snf7","AT3G45000"
"3387","WD domain, G-beta repeat","AT4G21520"
"3388","Cyclic nucleotide-binding domain","AT2G46450"
"3389","Ion transport protein","AT2G46450"
"3390","Galactose-1-phosphate uridyl transferase, N-terminal domain","AT5G18200"
"3391","Protein of unknown function, DUF538","AT4G02370"
"3392","PA domain","AT1G32940"
"3393","Subtilase family","AT1G32940"
"3394","Peptidase inhibitor I9","AT1G32940"
"3395","Protein phosphatase 2C","AT1G47380"
"3396","DnaJ domain","AT5G49580"
"3397","Peroxidase","AT5G06730"
"3398","alpha/beta hydrolase fold","AT4G10030"
"3399","Hexokinase","AT4G29130"
"3400","Exo70 exocyst complex subunit","AT5G13990"
"3401","Glycosyltransferase family 20","AT4G17770"
"3402","Trehalose-phosphatase","AT4G17770"
"3403","alpha/beta hydrolase fold","AT4G36530"
"3404","Plant invertase/pectin methylesterase inhibitor","AT3G05620"
"3405","Pectinesterase","AT3G05620"
"3406","Plant invertase/pectin methylesterase inhibitor","AT3G14300"
"3407","Pectinesterase","AT3G14300"
"3408","eIF4-gamma/eIF5/eIF2-epsilon","AT1G36730"
"3409","Domain found in IF2B/IF5","AT1G36730"
"3410","PPR repeat","AT2G41080"
"3411","Prephenate dehydratase","AT3G07630"
"3412","ACT domain","AT3G07630"
"3413","Type IIB DNA topoisomerase","AT5G02820"
"3414","Acyltransferase","AT1G80950"
"3415","Legume lectin domain","AT4G29050"
"3416","Protein kinase domain","AT4G29050"
"3417","D-arabinono-1,4-lactone oxidase","AT5G11540"
"3418","FAD binding domain","AT5G11540"
"3419","D-mannose binding lectin","AT1G61500"
"3420","PAN-like domain","AT1G61500"
"3421","Domain of unknown function (DUF3403)","AT1G61500"
"3422","Protein tyrosine kinase","AT1G61500"
"3423","S-locus glycoprotein family","AT1G61500"
"3424","Cystatin domain","AT5G05110"
"3425","B3 DNA binding domain","AT1G26680"
"3426","Uncharacterised ACR, YggU family COG1872","AT5G63440"
"3427","Arabidopsis proteins of unknown function","AT1G48880"
"3428","Cytochrome P450","AT4G00360"
"3429","B3 DNA binding domain","AT5G66980"
"3430","Protein of unknown function (DUF3133)","AT3G56410"
"3431","Uncharacterized conserved protein (DUF2358)","AT2G46100"
"3432","Helix-loop-helix DNA-binding domain","AT3G59060"
"3433","FBD","AT5G44960"
"3434","Leucine Rich Repeat","AT5G44960"
"3435","Extensin-like region","AT4G08370"
"3436","MA3 domain","AT1G22730"
"3437","Flavin-binding monooxygenase-like","AT4G13260"
"3438","UBX domain","AT1G14570"
"3439","DnaJ domain","AT5G37380"
"3440","PX domain","AT3G15920"
"3441","MATH domain","AT3G58200"
"3442","Stigma-specific protein, Stig1","AT4G26880"
"3443","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","AT1G53720"
"3444","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G53720"
"3445","Zinc knuckle","AT1G53720"
"3446","Leucine rich repeat N-terminal domain","AT2G25470"
"3447","Leucine Rich Repeat","AT2G25470"
"3448","NB-ARC domain","AT5G46490"
"3449","Leucine Rich Repeat","AT5G46490"
"3450","TIR domain","AT5G46490"
"3451","Protein of unknown function (DUF1084)","AT3G59090"
"3452","NAD dependent epimerase/dehydratase family","AT5G10730"
"3453","Cytochrome C1 family","AT5G40810"
"3454","Myb-like DNA-binding domain","AT1G70000"
"3455","DnaJ domain","AT1G59980"
"3456","Cupin","AT3G04190"
"3457","Protein kinase domain","AT1G16440"
"3458","PPR repeat","AT4G02750"
"3459","NB-ARC domain","AT1G17600"
"3460","Leucine Rich Repeat","AT1G17600"
"3461","TIR domain","AT1G17600"
"3462","Myb-like DNA-binding domain","AT5G16770"
"3463","Trehalose-phosphatase","AT5G10100"
"3464","Protein of unknown function (DUF901)","AT2G02410"
"3465","UTP--glucose-1-phosphate uridylyltransferase","AT3G03250"
"3466","Cyclin, N-terminal domain","AT5G45190"
"3467","PPR repeat","AT3G51320"
"3468","WRKY DNA -binding domain","AT1G69310"
"3469","Plant ATP synthase F0","ATMG00480"
"3470","Mitochondrial domain of unknown function (DUF1082)","ATMG00480"
"3471","ATPase family associated with various cellular activities (AAA)","AT5G40000"
"3472","Animal haem peroxidase","AT1G73680"
"3473","GAGA binding protein-like family","AT2G35550"
"3474","JmjC domain","AT3G07610"
"3475","Subtilase family","AT4G15040"
"3476","Peptidase inhibitor I9","AT4G15040"
"3477","Cyclic phosphodiesterase-like protein","AT4G18930"
"3478","Phospholipase/Carboxylesterase","AT1G52700"
"3479","Late embryogenesis abundant protein","AT4G23930"
"3480","3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal","AT1G62640"
"3481","3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III","AT1G62640"
"3482","HhH-GPD superfamily base excision DNA repair protein","AT1G75230"
"3483","Activator of Hsp90 ATPase, N-terminal","AT3G12050"
"3484","Activator of Hsp90 ATPase homolog 1-like protein","AT3G12050"
"3485","NAF domain","AT1G30270"
"3486","Protein kinase domain","AT1G30270"
"3487","Uncharacterized conserved protein (DUF2048)","AT3G12150"
"3488","Monogalactosyldiacylglycerol (MGDG) synthase","AT4G31780"
"3489","Glycosyltransferase family 28 C-terminal domain","AT4G31780"
"3490","YABBY protein","AT2G26580"
"3491","PPR repeat","AT3G50420"
"3492","Bromodomain","AT5G14270"
"3493","Plant protein of unknown function (DUF641)","AT3G14870"
"3494","Male sterility protein","AT3G60060"
"3495","F-box associated","AT1G59690"
"3496","F-box domain","AT5G39450"
"3497","CHY zinc finger","AT1G74770"
"3498","Hemerythrin HHE cation binding domain","AT1G74770"
"3499","F-box domain","AT1G60570"
"3500","Kelch motif","AT1G60570"
"3501","UDP-glucoronosyl and UDP-glucosyl transferase","AT2G18560"
"3502","Aminotransferase class-V","AT2G13360"
"3503","Isocitrate/isopropylmalate dehydrogenase","AT5G14200"
"3504","Kelch motif","AT5G03020"
"3505","Major Facilitator Superfamily","AT5G13750"
"3506","GTPase of unknown function","AT5G58370"
"3507","Isocitrate lyase family","AT1G77060"
"3508","F-box domain","AT3G16580"
"3509","F-box associated","AT3G16580"
"3510","Glycine rich protein family","AT2G05520"
"3511","Legume lectin domain","AT4G02410"
"3512","Protein kinase domain","AT4G02410"
"3513","Dynein light chain type 1","AT1G23220"
"3514","WD domain, G-beta repeat","AT2G46280"
"3515","Utp14 protein","AT5G08600"
"3516","Legume lectin domain","AT3G09190"
"3517","C1-like domain","AT2G37780"
"3518","Plant protein of unknown function (DUF946)","AT3G01880"
"3519","Root cap","AT5G60530"
"3520","Sugar (and other) transporter","AT3G51490"
"3521","Nucleotidyl transferase","AT1G74910"
"3522","Cytochrome c oxidase assembly protein CtaG/Cox11","AT1G02410"
"3523","Domain of unknown function (DUF2828)","AT5G43400"
"3524","Protein kinase domain","AT3G04910"
"3525","Protein of unknown function, DUF593","AT3G54740"
"3526","Ribosomal protein L44","AT3G23390"
"3527","F-box domain","AT3G22421"
"3528","F-box associated","AT3G22421"
"3529","Domain of unknown function DUF21","AT4G14230"
"3530","CBS domain","AT4G14230"
"3531","Proteasome subunit A N-terminal signature","AT1G47250"
"3532","Proteasome subunit","AT1G47250"
"3533","DNA / pantothenate metabolism flavoprotein","AT1G12350"
"3534","alpha/beta hydrolase fold","AT1G15060"
"3535","Flavin-binding monooxygenase-like","AT5G25620"
"3536","F-box domain","AT3G47150"
"3537","F-box associated","AT3G47150"
"3538","Initiation factor 2 subunit family","AT2G05830"
"3539","Cold acclimation protein WCOR413","AT3G50830"
"3540","Type I phosphodiesterase / nucleotide pyrophosphatase","AT4G29680"
"3541","Myb-like DNA-binding domain","AT1G21700"
"3542","SWIRM domain","AT1G21700"
"3543","NB-ARC domain","AT3G04220"
"3544","Leucine Rich Repeat","AT3G04220"
"3545","TIR domain","AT3G04220"
"3546","Acetyltransferase (GNAT) family","AT4G19985"
"3547","Plant mobile domain","AT1G51538"
"3548","F/Y rich C-terminus","AT4G20400"
"3549","F/Y-rich N-terminus","AT4G20400"
"3550","jmjN domain","AT4G20400"
"3551","C5HC2 zinc finger","AT4G20400"
"3552","JmjC domain","AT4G20400"
"3553","Thioredoxin","AT5G60640"
"3554","Rhomboid family","AT3G53780"
"3555","Domain of unknown function DUF26","AT4G23140"
"3556","Protein tyrosine kinase","AT4G23140"
"3557","X8 domain","AT4G16165"
"3558","Pyridoxal-dependent decarboxylase, C-terminal sheet domain","AT5G11880"
"3559","Pyridoxal-dependent decarboxylase, pyridoxal binding domain","AT5G11880"
"3560","Helix-loop-helix DNA-binding domain","AT3G06120"
"3561","TATA-binding related factor (TRF) of subunit 20 of Mediator complex","AT2G28230"
"3562","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G10610"
"3563","Ataxin-2 C-terminal region","AT4G10610"
"3564","SPX domain","AT5G15330"
"3565","Arp2/3 complex, 34 kD subunit p34-Arc","AT2G33385"
"3566","SAC3/GANP/Nin1/mts3/eIF-3 p25 family","AT3G06290"
"3567","Protein of unknown function (DUF1336)","AT5G25020"
"3568","POT family","AT1G62200"
"3569","Protein tyrosine kinase","AT2G43850"
"3570","Ankyrin repeat","AT2G43850"
"3571","Protein of unknown function, DUF642","AT3G08030"
"3572","Skp1 family, dimerisation domain","AT2G03190"
"3573","Skp1 family, tetramerisation domain","AT2G03190"
"3574","Pectinesterase","AT2G19150"
"3575","Protein tyrosine kinase","AT1G01450"
"3576","Protein of unknown function (DUF3755)","AT3G07565"
"3577","Protein of unknown function, DUF642","AT1G80240"
"3578","Glycosyl transferase family 8","AT2G20810"
"3579","PEP-utilising enzyme, mobile domain","AT4G15530"
"3580","Pyruvate phosphate dikinase, PEP/pyruvate binding domain","AT4G15530"
"3581","PEP-utilising enzyme, TIM barrel domain","AT4G15530"
"3582","Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region","AT5G49970"
"3583","YjeF-related protein N-terminus","AT5G49970"
"3584","Pyridoxamine 5'-phosphate oxidase","AT5G49970"
"3585","Telomere length regulation protein","AT3G48470"
"3586","Domain of unknown function (DUF3527)","AT4G11450"
"3587","Cupin","AT1G03890"
"3588","Glycosyl hydrolase family 1","AT3G18070"
"3589","PQ loop repeat","AT5G59470"
"3590","Leucine rich repeat N-terminal domain","AT3G23750"
"3591","Leucine Rich Repeat","AT3G23750"
"3592","Protein kinase domain","AT3G23750"
"3593","Cytochrome P450","AT4G37370"
"3594","F-box domain","AT3G26922"
"3595","Leucine Rich Repeat","AT3G26922"
"3596","C1 domain","AT5G43030"
"3597","C1-like domain","AT5G43030"
"3598","Sodium/hydrogen exchanger family","AT3G44920"
"3599","Domain of unknown function DUF26","AT3G04370"
"3600","Pyridoxal-phosphate dependent enzyme","AT1G72810"
"3601","Seven in absentia protein family","AT4G27880"
"3602","UDP-glucoronosyl and UDP-glucosyl transferase","AT4G14090"
"3603","Potato inhibitor I family","AT2G38900"
"3604","YbaK / prolyl-tRNA synthetases associated domain","AT4G16510"
"3605","AP2 domain","AT4G16750"
"3606","PA domain","AT4G00230"
"3607","Subtilase family","AT4G00230"
"3608","Peptidase inhibitor I9","AT4G00230"
"3609","PPR repeat","AT3G29230"
"3610","Cytochrome P450","AT3G26160"
"3611","Kinesin-associated protein (KAP)","AT2G25130"
"3612","TCP family transcription factor","AT1G30210"
"3613","Mitochondrial carrier protein","AT2G17270"
"3614","PsbL protein","ATCG00560"
"3615","MA3 domain","AT3G60240"
"3616","MIF4G domain","AT3G60240"
"3617","S-adenosyl-L-homocysteine hydrolase","AT4G13940"
"3618","S-adenosyl-L-homocysteine hydrolase, NAD binding domain","AT4G13940"
"3619","Poly-adenylate binding protein, unique domain","AT1G71770"
"3620","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G71770"
"3621","GlcNAc-PI de-N-acetylase","AT2G27340"
"3622","Leucine Rich Repeat","AT5G67200"
"3623","Protein kinase domain","AT5G67200"
"3624","Ribosomal protein L4/L1 family","AT1G07320"
"3625","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT3G27700"
"3626","Anion-transporting ATPase","AT3G10350"
"3627","Polyketide cyclase / dehydrase and lipid transport","AT5G08720"
"3628","bZIP transcription factor","AT1G06850"
